segment,q_index,combined_path_distance,mode,original_cm-1,symmetry_fixed_cm-1,delta_cm-1
1,10,0.21716100,2,83.892000,83.470800,-0.421200
1,10,0.21716100,3,147.452700,147.258400,-0.194300
1,10,0.21716100,4,273.410900,273.408000,-0.002900
1,10,0.21716100,5,331.930800,332.039800,0.109000
1,10,0.21716100,6,332.567600,332.408100,-0.159500
1,10,0.21716100,7,352.826000,352.407300,-0.418700
1,10,0.21716100,8,357.859600,357.808500,-0.051100
1,10,0.21716100,9,369.829600,369.692300,-0.137300
1,10,0.21716100,10,393.129500,393.164600,0.035100
1,10,0.21716100,11,397.167700,396.945200,-0.222500
1,10,0.21716100,12,419.036400,418.896700,-0.139700
1,10,0.21716100,13,425.136600,425.046500,-0.090100
1,10,0.21716100,14,440.163300,440.130400,-0.032900
1,10,0.21716100,15,446.853400,447.001800,0.148400
1,10,0.21716100,16,466.246900,465.999000,-0.247900
1,10,0.21716100,17,495.428300,495.238500,-0.189800
1,10,0.21716100,18,528.385300,528.069000,-0.316300
1,10,0.21716100,19,541.398900,540.978000,-0.420900
1,10,0.21716100,20,548.806000,548.768700,-0.037300
1,10,0.21716100,21,554.966200,554.873900,-0.092300
1,10,0.21716100,22,556.549400,556.444300,-0.105100
1,10,0.21716100,23,573.025100,572.809300,-0.215800
1,10,0.21716100,24,608.128800,608.002700,-0.126100
1,10,0.21716100,25,630.042600,630.172900,0.130300
1,10,0.21716100,26,658.971300,659.183300,0.212000
1,10,0.21716100,27,716.389500,715.596700,-0.792800
1,10,0.21716100,28,719.088400,718.435000,-0.653400
1,10,0.21716100,29,723.246300,722.820300,-0.426000
1,10,0.21716100,30,851.478200,851.434700,-0.043500
1,11,0.23887800,1,84.443700,83.951500,-0.492200
1,11,0.23887800,2,92.178000,91.727400,-0.450600
1,11,0.23887800,3,161.706400,161.484900,-0.221500
1,11,0.23887800,4,271.591400,271.578300,-0.013100
1,11,0.23887800,5,328.144100,328.248500,0.104400
1,11,0.23887800,6,329.526500,329.370900,-0.155600
1,11,0.23887800,7,352.453700,352.007700,-0.446000
1,11,0.23887800,8,356.441700,356.416700,-0.025000
